Date,Club,Elo,key
2016-08-04,Burnley,1635.66455078,2016-08-04 00:00:00Burnl
2016-08-06,Burnley,1636.98571777,2016-08-06 00:00:00Burnl
2016-08-10,Burnley,1636.98571777,2016-08-10 00:00:00Burnl
2016-08-13,Burnley,1636.98571777,2016-08-13 00:00:00Burnl
2016-08-16,Burnley,1628.59570312,2016-08-16 00:00:00Burnl
2016-08-17,Burnley,1629.90429688,2016-08-17 00:00:00Burnl
2016-08-18,Burnley,1629.90429688,2016-08-18 00:00:00Burnl
2016-08-19,Burnley,1629.91784668,2016-08-19 00:00:00Burnl
2016-08-20,Burnley,1629.91784668,2016-08-20 00:00:00Burnl
2016-08-22,Burnley,1645.76000977,2016-08-22 00:00:00Burnl
2016-08-24,Burnley,1645.76000977,2016-08-24 00:00:00Burnl
2016-08-25,Burnley,1645.77038574,2016-08-25 00:00:00Burnl
2016-08-27,Burnley,1638.6895752,2016-08-27 00:00:00Burnl
2016-09-09,Burnley,1632.96264648,2016-09-09 00:00:00Burnl
2016-09-10,Burnley,1632.96264648,2016-09-10 00:00:00Burnl
2016-09-11,Burnley,1630.54040527,2016-09-11 00:00:00Burnl
2016-09-12,Burnley,1630.54040527,2016-09-12 00:00:00Burnl
2016-09-13,Burnley,1630.54040527,2016-09-13 00:00:00Burnl
2016-09-14,Burnley,1631.69836426,2016-09-14 00:00:00Burnl
2016-09-15,Burnley,1633.78759766,2016-09-15 00:00:00Burnl
2016-09-17,Burnley,1632.14575195,2016-09-17 00:00:00Burnl
2016-09-18,Burnley,1626.4432373,2016-09-18 00:00:00Burnl
2016-09-20,Burnley,1626.4432373,2016-09-20 00:00:00Burnl
2016-09-21,Burnley,1626.4432373,2016-09-21 00:00:00Burnl
2016-09-22,Burnley,1626.4432373,2016-09-22 00:00:00Burnl
2016-09-25,Burnley,1626.4432373,2016-09-25 00:00:00Burnl
2016-09-26,Burnley,1626.4432373,2016-09-26 00:00:00Burnl
2016-09-27,Burnley,1636.50366211,2016-09-27 00:00:00Burnl
2016-09-28,Burnley,1640.97033691,2016-09-28 00:00:00Burnl
2016-09-29,Burnley,1640.20397949,2016-09-29 00:00:00Burnl
2016-10-02,Burnley,1639.64794922,2016-10-02 00:00:00Burnl
2016-10-15,Burnley,1635.57299805,2016-10-15 00:00:00Burnl
2016-10-16,Burnley,1635.57299805,2016-10-16 00:00:00Burnl
2016-10-18,Burnley,1630.36560059,2016-10-18 00:00:00Burnl
2016-10-19,Burnley,1631.75683594,2016-10-19 00:00:00Burnl
2016-10-20,Burnley,1630.84521484,2016-10-20 00:00:00Burnl
2016-10-22,Burnley,1629.5423584,2016-10-22 00:00:00Burnl
2016-10-23,Burnley,1638.5579834,2016-10-23 00:00:00Burnl
2016-10-24,Burnley,1638.5579834,2016-10-24 00:00:00Burnl
2016-10-28,Burnley,1638.5579834,2016-10-28 00:00:00Burnl
2016-10-29,Burnley,1638.5579834,2016-10-29 00:00:00Burnl
2016-11-01,Burnley,1643.69140625,2016-11-01 00:00:00Burnl
2016-11-02,Burnley,1649.01843262,2016-11-02 00:00:00Burnl
2016-11-03,Burnley,1644.66259766,2016-11-03 00:00:00Burnl
2016-11-05,Burnley,1642.84008789,2016-11-05 00:00:00Burnl
2016-11-06,Burnley,1649.22521973,2016-11-06 00:00:00Burnl
2016-11-19,Burnley,1649.22521973,2016-11-19 00:00:00Burnl
2016-11-20,Burnley,1649.22521973,2016-11-20 00:00:00Burnl
2016-11-21,Burnley,1649.22521973,2016-11-21 00:00:00Burnl
2016-11-22,Burnley,1635.74169922,2016-11-22 00:00:00Burnl
2016-11-23,Burnley,1634.53833008,2016-11-23 00:00:00Burnl
2016-11-24,Burnley,1633.45483398,2016-11-24 00:00:00Burnl
2016-11-26,Burnley,1632.25805664,2016-11-26 00:00:00Burnl
2016-11-30,Burnley,1628.53869629,2016-11-30 00:00:00Burnl
2016-12-03,Burnley,1628.53869629,2016-12-03 00:00:00Burnl
2016-12-06,Burnley,1620.24169922,2016-12-06 00:00:00Burnl
2016-12-07,Burnley,1620.71081543,2016-12-07 00:00:00Burnl
2016-12-08,Burnley,1618.04284668,2016-12-08 00:00:00Burnl
2016-12-10,Burnley,1618.33276367,2016-12-10 00:00:00Burnl
2016-12-11,Burnley,1625.15087891,2016-12-11 00:00:00Burnl
2016-12-14,Burnley,1625.15087891,2016-12-14 00:00:00Burnl
2016-12-15,Burnley,1619.46972656,2016-12-15 00:00:00Burnl
2016-12-18,Burnley,1619.46972656,2016-12-18 00:00:00Burnl
2016-12-21,Burnley,1616.76452637,2016-12-21 00:00:00Burnl
2016-12-24,Burnley,1616.76452637,2016-12-24 00:00:00Burnl
2016-12-26,Burnley,1616.76452637,2016-12-26 00:00:00Burnl
2016-12-31,Burnley,1623.21936035,2016-12-31 00:00:00Burnl
2017-01-02,Burnley,1633.88464355,2017-01-02 00:00:00Burnl
2017-01-06,Burnley,1631.47680664,2017-01-06 00:00:00Burnl
2017-01-14,Burnley,1631.47680664,2017-01-14 00:00:00Burnl
2017-01-21,Burnley,1639.82263184,2017-01-21 00:00:00Burnl
2017-01-22,Burnley,1639.82263184,2017-01-22 00:00:00Burnl
2017-01-27,Burnley,1637.75280762,2017-01-27 00:00:00Burnl
2017-01-28,Burnley,1637.75280762,2017-01-28 00:00:00Burnl
2017-01-31,Burnley,1637.75280762,2017-01-31 00:00:00Burnl
2017-02-03,Burnley,1645.80541992,2017-02-03 00:00:00Burnl
2017-02-04,Burnley,1645.80541992,2017-02-04 00:00:00Burnl
2017-02-08,Burnley,1638.91210938,2017-02-08 00:00:00Burnl
2017-02-12,Burnley,1638.91210938,2017-02-12 00:00:00Burnl
2017-02-14,Burnley,1643.62426758,2017-02-14 00:00:00Burnl
2017-02-15,Burnley,1643.62426758,2017-02-15 00:00:00Burnl
2017-02-16,Burnley,1640.8236084,2017-02-16 00:00:00Burnl
2017-02-18,Burnley,1641.94702148,2017-02-18 00:00:00Burnl
2017-02-19,Burnley,1641.94702148,2017-02-19 00:00:00Burnl
2017-02-21,Burnley,1641.94702148,2017-02-21 00:00:00Burnl
2017-02-22,Burnley,1644.26525879,2017-02-22 00:00:00Burnl
2017-02-23,Burnley,1644.9786377,2017-02-23 00:00:00Burnl
2017-02-25,Burnley,1639.92126465,2017-02-25 00:00:00Burnl
2017-02-26,Burnley,1639.82800293,2017-02-26 00:00:00Burnl
2017-03-04,Burnley,1639.82800293,2017-03-04 00:00:00Burnl
2017-03-05,Burnley,1633.05517578,2017-03-05 00:00:00Burnl
2017-03-07,Burnley,1633.05517578,2017-03-07 00:00:00Burnl
2017-03-08,Burnley,1632.0402832,2017-03-08 00:00:00Burnl
2017-03-09,Burnley,1632.0402832,2017-03-09 00:00:00Burnl
2017-03-11,Burnley,1632.55725098,2017-03-11 00:00:00Burnl
2017-03-12,Burnley,1632.55725098,2017-03-12 00:00:00Burnl
2017-03-13,Burnley,1629.80712891,2017-03-13 00:00:00Burnl
2017-03-14,Burnley,1629.80712891,2017-03-14 00:00:00Burnl
2017-03-15,Burnley,1635.95861816,2017-03-15 00:00:00Burnl
2017-03-16,Burnley,1630.87121582,2017-03-16 00:00:00Burnl
2017-03-18,Burnley,1632.35668945,2017-03-18 00:00:00Burnl
2017-04-01,Burnley,1632.93554688,2017-04-01 00:00:00Burnl
2017-04-04,Burnley,1625.88183594,2017-04-04 00:00:00Burnl
2017-04-08,Burnley,1633.29711914,2017-04-08 00:00:00Burnl
2017-04-10,Burnley,1633.67687988,2017-04-10 00:00:00Burnl
2017-04-12,Burnley,1633.67687988,2017-04-12 00:00:00Burnl
2017-04-13,Burnley,1633.26721191,2017-04-13 00:00:00Burnl
2017-04-15,Burnley,1633.74401855,2017-04-15 00:00:00Burnl
2017-04-17,Burnley,1628.99926758,2017-04-17 00:00:00Burnl
2017-04-18,Burnley,1628.99926758,2017-04-18 00:00:00Burnl
2017-04-20,Burnley,1628.46350098,2017-04-20 00:00:00Burnl
2017-04-22,Burnley,1629.9284668,2017-04-22 00:00:00Burnl
2017-04-23,Burnley,1629.9284668,2017-04-23 00:00:00Burnl
2017-04-25,Burnley,1622.99072266,2017-04-25 00:00:00Burnl
2017-04-29,Burnley,1622.99072266,2017-04-29 00:00:00Burnl
2017-05-03,Burnley,1638.84350586,2017-05-03 00:00:00Burnl
2017-05-04,Burnley,1638.84350586,2017-05-04 00:00:00Burnl
2017-05-05,Burnley,1640.6192627,2017-05-05 00:00:00Burnl
2017-05-06,Burnley,1640.6192627,2017-05-06 00:00:00Burnl
2017-05-07,Burnley,1638.64367676,2017-05-07 00:00:00Burnl
2017-05-08,Burnley,1638.64367676,2017-05-08 00:00:00Burnl
2017-05-11,Burnley,1638.64367676,2017-05-11 00:00:00Burnl
2017-05-13,Burnley,1638.7331543,2017-05-13 00:00:00Burnl
2017-05-14,Burnley,1632.70141602,2017-05-14 00:00:00Burnl
2017-05-20,Burnley,1632.70141602,2017-05-20 00:00:00Burnl
2017-05-21,Burnley,1632.70141602,2017-05-21 00:00:00Burnl
2017-05-24,Burnley,1623.40563965,2017-05-24 00:00:00Burnl
2017-05-28,Burnley,1626.16455078,2017-05-28 00:00:00Burnl
2017-06-03,Burnley,1626.16455078,2017-06-03 00:00:00Burnl
2017-06-14,Burnley,1626.16455078,2017-06-14 00:00:00Burnl
2017-07-20,Burnley,1626.16455078,2017-07-20 00:00:00Burnl
2017-07-21,Burnley,1626.16455078,2017-07-21 00:00:00Burnl
2017-07-25,Burnley,1626.16455078,2017-07-25 00:00:00Burnl
2017-07-26,Burnley,1626.16455078,2017-07-26 00:00:00Burnl
2017-07-27,Burnley,1626.16455078,2017-07-27 00:00:00Burnl
2017-08-02,Burnley,1626.18383789,2017-08-02 00:00:00Burnl
2017-08-03,Burnley,1626.18383789,2017-08-03 00:00:00Burnl
2017-08-05,Burnley,1626.51464844,2017-08-05 00:00:00Burnl
2017-08-06,Burnley,1626.51464844,2017-08-06 00:00:00Burnl
2017-08-12,Burnley,1626.51464844,2017-08-12 00:00:00Burnl
2017-08-15,Burnley,1642.1998291,2017-08-15 00:00:00Burnl
2017-08-17,Burnley,1644.82800293,2017-08-17 00:00:00Burnl
2017-08-19,Burnley,1646.02307129,2017-08-19 00:00:00Burnl
2017-08-23,Burnley,1636.28930664,2017-08-23 00:00:00Burnl
2017-08-24,Burnley,1637.8215332,2017-08-24 00:00:00Burnl
2017-08-27,Burnley,1638.10266113,2017-08-27 00:00:00Burnl
2017-09-02,Burnley,1645.39208984,2017-09-02 00:00:00Burnl
2017-09-08,Burnley,1645.39208984,2017-09-08 00:00:00Burnl
2017-09-09,Burnley,1645.39208984,2017-09-09 00:00:00Burnl
2017-09-10,Burnley,1645.39208984,2017-09-10 00:00:00Burnl
2017-09-12,Burnley,1650.77783203,2017-09-12 00:00:00Burnl
2017-09-13,Burnley,1652.16760254,2017-09-13 00:00:00Burnl
2017-09-14,Burnley,1655.92712402,2017-09-14 00:00:00Burnl
2017-09-16,Burnley,1653.09350586,2017-09-16 00:00:00Burnl
2017-09-20,Burnley,1659.60119629,2017-09-20 00:00:00Burnl
2017-09-23,Burnley,1659.60119629,2017-09-23 00:00:00Burnl
2017-09-24,Burnley,1654.08068848,2017-09-24 00:00:00Burnl
2017-09-26,Burnley,1654.08068848,2017-09-26 00:00:00Burnl
2017-09-27,Burnley,1656.63256836,2017-09-27 00:00:00Burnl
2017-09-28,Burnley,1664.38830566,2017-09-28 00:00:00Burnl
2017-09-29,Burnley,1662.7779541,2017-09-29 00:00:00Burnl
2017-09-30,Burnley,1662.7779541,2017-09-30 00:00:00Burnl
2017-10-01,Burnley,1662.7779541,2017-10-01 00:00:00Burnl
2017-10-14,Burnley,1674.54504395,2017-10-14 00:00:00Burnl
2017-10-15,Burnley,1672.59143066,2017-10-15 00:00:00Burnl
2017-10-17,Burnley,1672.59143066,2017-10-17 00:00:00Burnl
2017-10-18,Burnley,1678.37670898,2017-10-18 00:00:00Burnl
2017-10-19,Burnley,1678.79858398,2017-10-19 00:00:00Burnl
2017-10-20,Burnley,1675.70507812,2017-10-20 00:00:00Burnl
2017-10-21,Burnley,1675.70507812,2017-10-21 00:00:00Burnl
2017-10-28,Burnley,1672.74633789,2017-10-28 00:00:00Burnl
2017-10-30,Burnley,1672.74633789,2017-10-30 00:00:00Burnl
2017-10-31,Burnley,1679.00268555,2017-10-31 00:00:00Burnl
2017-11-01,Burnley,1676.23669434,2017-11-01 00:00:00Burnl
2017-11-02,Burnley,1684.48986816,2017-11-02 00:00:00Burnl
2017-11-04,Burnley,1678.85253906,2017-11-04 00:00:00Burnl
2017-11-05,Burnley,1688.76464844,2017-11-05 00:00:00Burnl
2017-11-18,Burnley,1688.76464844,2017-11-18 00:00:00Burnl
2017-11-19,Burnley,1696.49145508,2017-11-19 00:00:00Burnl
2017-11-21,Burnley,1696.49145508,2017-11-21 00:00:00Burnl
2017-11-22,Burnley,1698.80310059,2017-11-22 00:00:00Burnl
2017-11-23,Burnley,1696.03063965,2017-11-23 00:00:00Burnl
2017-11-26,Burnley,1685.51171875,2017-11-26 00:00:00Burnl
2017-11-27,Burnley,1679.88537598,2017-11-27 00:00:00Burnl
2017-11-29,Burnley,1679.88537598,2017-11-29 00:00:00Burnl
2017-12-02,Burnley,1688.87988281,2017-12-02 00:00:00Burnl
2017-12-03,Burnley,1683.06079102,2017-12-03 00:00:00Burnl
2017-12-05,Burnley,1683.06079102,2017-12-05 00:00:00Burnl
2017-12-06,Burnley,1683.10327148,2017-12-06 00:00:00Burnl
2017-12-07,Burnley,1682.36413574,2017-12-07 00:00:00Burnl
2017-12-09,Burnley,1686.25061035,2017-12-09 00:00:00Burnl
2017-12-12,Burnley,1692.30053711,2017-12-12 00:00:00Burnl
2017-12-16,Burnley,1698.02722168,2017-12-16 00:00:00Burnl
2017-12-17,Burnley,1697.06213379,2017-12-17 00:00:00Burnl
2017-12-21,Burnley,1697.06213379,2017-12-21 00:00:00Burnl
2017-12-23,Burnley,1697.06213379,2017-12-23 00:00:00Burnl
2017-12-26,Burnley,1689.05749512,2017-12-26 00:00:00Burnl
2017-12-30,Burnley,1695.75878906,2017-12-30 00:00:00Burnl
2018-01-01,Burnley,1693.5690917999998,2018-01-01 00:00:00Burnl
2018-01-13,Burnley,1688.75439453,2018-01-13 00:00:00Burnl
2018-01-14,Burnley,1681.16662598,2018-01-14 00:00:00Burnl
2018-01-20,Burnley,1681.16662598,2018-01-20 00:00:00Burnl
2018-01-21,Burnley,1676.99145508,2018-01-21 00:00:00Burnl
2018-01-26,Burnley,1676.99145508,2018-01-26 00:00:00Burnl
2018-01-27,Burnley,1676.99145508,2018-01-27 00:00:00Burnl
2018-01-28,Burnley,1676.99145508,2018-01-28 00:00:00Burnl
2018-01-31,Burnley,1676.99145508,2018-01-31 00:00:00Burnl
2018-02-03,Burnley,1676.74194336,2018-02-03 00:00:00Burnl
2018-02-04,Burnley,1682.84912109,2018-02-04 00:00:00Burnl
2018-02-07,Burnley,1682.84912109,2018-02-07 00:00:00Burnl
2018-02-10,Burnley,1682.84912109,2018-02-10 00:00:00Burnl
2018-02-13,Burnley,1675.08361816,2018-02-13 00:00:00Burnl
2018-02-14,Burnley,1678.00561523,2018-02-14 00:00:00Burnl
2018-02-15,Burnley,1682.06542969,2018-02-15 00:00:00Burnl
2018-02-17,Burnley,1682.65197754,2018-02-17 00:00:00Burnl
2018-02-20,Burnley,1682.65197754,2018-02-20 00:00:00Burnl
2018-02-21,Burnley,1682.43249512,2018-02-21 00:00:00Burnl
2018-02-22,Burnley,1682.33972168,2018-02-22 00:00:00Burnl
2018-02-24,Burnley,1682.1895752,2018-02-24 00:00:00Burnl
2018-03-03,Burnley,1680.0637207000002,2018-03-03 00:00:00Burnl
2018-03-06,Burnley,1687.03527832,2018-03-06 00:00:00Burnl
2018-03-07,Burnley,1686.6184082000002,2018-03-07 00:00:00Burnl
2018-03-08,Burnley,1681.41992188,2018-03-08 00:00:00Burnl
2018-03-10,Burnley,1684.73242188,2018-03-10 00:00:00Burnl
2018-03-11,Burnley,1699.87097168,2018-03-11 00:00:00Burnl
2018-03-13,Burnley,1699.87097168,2018-03-13 00:00:00Burnl
2018-03-14,Burnley,1694.1607665999998,2018-03-14 00:00:00Burnl
2018-03-15,Burnley,1692.15600586,2018-03-15 00:00:00Burnl
2018-03-17,Burnley,1693.24194336,2018-03-17 00:00:00Burnl
2018-03-31,Burnley,1693.24194336,2018-03-31 00:00:00Burnl
2018-04-02,Burnley,1700.06787109,2018-04-02 00:00:00Burnl
2018-04-05,Burnley,1700.06787109,2018-04-05 00:00:00Burnl
2018-04-07,Burnley,1703.61450195,2018-04-07 00:00:00Burnl
2018-04-08,Burnley,1711.4185790999998,2018-04-08 00:00:00Burnl
2018-04-09,Burnley,1711.4185790999998,2018-04-09 00:00:00Burnl
2018-04-10,Burnley,1711.4185790999998,2018-04-10 00:00:00Burnl
2018-04-12,Burnley,1711.4185790999998,2018-04-12 00:00:00Burnl
2018-04-14,Burnley,1711.70141602,2018-04-14 00:00:00Burnl
2018-04-15,Burnley,1718.71838379,2018-04-15 00:00:00Burnl
2018-04-17,Burnley,1718.71838379,2018-04-17 00:00:00Burnl
2018-04-18,Burnley,1718.71838379,2018-04-18 00:00:00Burnl
2018-04-19,Burnley,1718.71838379,2018-04-19 00:00:00Burnl
2018-04-22,Burnley,1712.32763672,2018-04-22 00:00:00Burnl
2018-04-23,Burnley,1711.15539551,2018-04-23 00:00:00Burnl
2018-04-24,Burnley,1711.15539551,2018-04-24 00:00:00Burnl
2018-04-25,Burnley,1714.19189453,2018-04-25 00:00:00Burnl
2018-04-26,Burnley,1714.19189453,2018-04-26 00:00:00Burnl
2018-04-28,Burnley,1713.51574707,2018-04-28 00:00:00Burnl
2018-05-02,Burnley,1709.43847656,2018-05-02 00:00:00Burnl
2018-05-03,Burnley,1708.51464844,2018-05-03 00:00:00Burnl
2018-05-06,Burnley,1706.99035645,2018-05-06 00:00:00Burnl
2018-05-09,Burnley,1697.9831542999998,2018-05-09 00:00:00Burnl
2018-05-12,Burnley,1697.9831542999998,2018-05-12 00:00:00Burnl
2018-05-13,Burnley,1697.9831542999998,2018-05-13 00:00:00Burnl
2018-05-20,Burnley,1687.09228516,2018-05-20 00:00:00Burnl
2018-05-26,Burnley,1687.09228516,2018-05-26 00:00:00Burnl
2018-07-25,Burnley,1684.56689453,2018-07-25 00:00:00Burnl
2018-07-26,Burnley,1684.56689453,2018-07-26 00:00:00Burnl
2018-08-02,Burnley,1684.68579102,2018-08-02 00:00:00Burnl
2018-08-08,Burnley,1688.51635742,2018-08-08 00:00:00Burnl
2018-08-09,Burnley,1688.51635742,2018-08-09 00:00:00Burnl
2018-08-12,Burnley,1690.08410645,2018-08-12 00:00:00Burnl
2018-08-16,Burnley,1690.83959961,2018-08-16 00:00:00Burnl
2018-08-17,Burnley,1701.90026855,2018-08-17 00:00:00Burnl
2018-08-18,Burnley,1701.90026855,2018-08-18 00:00:00Burnl
2018-08-19,Burnley,1701.90026855,2018-08-19 00:00:00Burnl
2018-08-23,Burnley,1685.41186523,2018-08-23 00:00:00Burnl
2018-08-25,Burnley,1670.2857666,2018-08-25 00:00:00Burnl
2018-08-26,Burnley,1670.2857666,2018-08-26 00:00:00Burnl
2018-08-29,Burnley,1659.06640625,2018-08-29 00:00:00Burnl
2018-08-30,Burnley,1659.06640625,2018-08-30 00:00:00Burnl
2018-09-01,Burnley,1649.18505859,2018-09-01 00:00:00Burnl
2018-09-02,Burnley,1649.18505859,2018-09-02 00:00:00Burnl
2018-09-16,Burnley,1642.43981934,2018-09-16 00:00:00Burnl
