,FTR,season_period,xg1_5g_avg,xg2_5g_avg,gd_5g_avg,elo_diff,game1_D,game1_H,game2_D,game2_H,game3_D,game3_H,game4_D,game4_H,game5_D,game5_H
0,0,0,0.65,1.3060000000000003,0.4,-90.93078612999989,0,0,0,1,1,0,0,1,0,0
340,1,0,1.0779999999999998,1.228,1.0,30.798828129999947,0,0,0,1,0,1,0,1,1,0
1,0,0,0.5959999999999999,1.138,0.8,12.096313479999935,0,1,1,0,0,1,0,0,0,1
392,0,0,2.09,0.756,2.0,110.58825683999999,0,1,0,1,0,0,0,1,0,1
170,2,0,2.4680000000000004,0.63,1.4,280.3465576199999,0,1,0,1,0,1,1,0,1,0
765,2,0,1.392,1.2340000000000002,-0.6,-12.05078125,0,1,0,0,0,0,1,0,0,1
288,2,0,1.834,1.5320000000000003,0.8,61.19677735000005,0,0,0,1,0,1,0,1,1,0
156,0,0,0.634,2.502,-1.4,-200.50427227,0,1,0,0,0,0,0,0,0,0
496,1,0,1.404,0.9239999999999998,1.2,152.18127442000014,1,0,0,1,0,1,1,0,0,1
581,1,0,1.586,1.982,-1.0,-118.21508789000018,0,0,1,0,0,0,0,0,1,0
52,1,0,1.506,1.236,-0.2,-249.90771483999993,0,0,1,0,0,1,0,0,0,0
104,2,0,1.4460000000000002,0.666,1.0,73.25146483999993,1,0,0,1,0,1,1,0,0,1
444,2,0,2.288,0.882,0.8,-95.5302734400002,0,1,0,0,0,1,1,0,1,0
236,2,0,1.9020000000000004,0.8960000000000001,0.2,-84.9213867200001,1,0,1,0,0,1,0,1,0,0
548,1,0,1.532,1.444,-0.6,54.08508299999994,0,0,0,0,1,0,0,1,0,1
751,0,0,1.3419999999999999,1.6420000000000001,-1.6,30.902832089999947,0,0,0,0,0,0,1,0,0,0
614,0,0,1.8519999999999999,1.066,0.8,155.54528807999986,0,1,1,0,0,1,0,1,1,0
666,0,0,1.31,1.378,0.0,-134.3041992200001,0,0,0,0,0,1,1,0,0,1
