,date,team1,team2,xg1,xg2,FTR,HTR,half_time_gd,yellow_cards,total_shots,shots_on_target,free_kicks,corners,red_cards,A Marriner,A Taylor,C Kavanagh,C Pawson,D Coote,G Scott,J Moss,K Friend,L Mason,L Probert,M Atkinson,M Clattenburg,M Dean,M Jones,M Oliver,N Swarbrick,P Tierney,R East,R Madley,S Attwell,S Hooper,l Mason,season_period,home_elo,away_elo,score1,score2,FTR_alpha,xg1_5g_avg,xg2_5g_avg,gd_5g_avg,game1,game2,game3,game4,game5,HomeWin,AwayWin,Draw
0,2016-10-22,Burnley,Everton,0.97,1.0,0,0,1,-1,-11,-5,1,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1629.5423584,1720.47314453,2.0,1.0,H,0.65,1.3060000000000005,0.4,A,H,D,H,A,0.451,0.367,0.181
1,2016-11-05,Burnley,Crystal Palace,1.87,2.42,0,0,2,-1,-2,2,-1,-3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642.84008789,1630.74377441,3.0,2.0,H,0.5959999999999999,1.138,0.8,H,D,H,A,H,0.741,0.133,0.126
2,2016-11-26,Burnley,ManCity,0.73,2.57,1,2,0,-1,-11,0,-10,-3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632.25805664,1872.48779297,1.0,2.0,A,0.928,1.3840000000000001,0.6,D,H,A,H,H,0.76,0.063,0.177
3,2016-12-10,Burnley,Bournemouth,2.05,1.09,0,0,1,0,-1,3,-4,-7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1618.33276367,1632.51074219,3.0,2.0,H,0.968,1.6919999999999995,0.4,H,A,H,H,A,0.754,0.142,0.103
4,2016-12-26,Burnley,Middlesbrough,0.35,0.91,0,2,0,1,-2,2,-1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1616.76452637,1611.27636719,1.0,0.0,H,1.262,1.746,0.2,A,H,H,A,H,0.693,0.139,0.168
5,2016-12-31,Burnley,Sunderland,2.62,0.65,0,0,1,0,5,3,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1623.21936035,1608.77282715,4.0,1.0,H,1.1939999999999995,1.598,0.6,H,H,A,H,H,0.445,0.431,0.124
6,2017-01-14,Burnley,Southampton,0.44,1.11,0,2,0,-1,-11,-2,0,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1631.47680664,1700.56298828,1.0,0.0,H,1.524,1.528,1.0,H,A,H,H,H,0.701,0.153,0.146
7,2017-01-31,Burnley,Leicester City,1.89,0.84,0,2,0,1,11,-2,-4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1637.75280762,1704.56286621,1.0,0.0,H,1.238,1.2660000000000002,1.0,A,H,H,H,H,0.442,0.48,0.077
8,2017-02-12,Burnley,Chelsea,0.9,0.89,2,2,0,1,-7,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1638.91210938,1884.62402344,1.0,1.0,D,1.47,0.92,1.4,H,H,H,H,H,0.573,0.112,0.315
9,2017-04-01,Burnley,Tottenham Hotspur,0.45,2.41,1,2,0,2,-6,-5,3,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1632.93554688,1828.40930176,0.0,2.0,A,1.24,0.8799999999999999,1.2,H,H,H,H,D,0.301,0.479,0.22
10,2017-04-04,Burnley,Stoke City,0.34,1.11,0,2,0,1,-8,1,-7,-2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1625.88183594,1670.82556152,1.0,0.0,H,1.2600000000000002,1.1800000000000002,0.6,H,H,H,D,A,0.302,0.541,0.157
11,2017-04-23,Burnley,ManUtd,0.4,2.2,1,1,-2,1,-4,-6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1629.9284668,1849.51574707,0.0,2.0,A,0.804,1.272,0.2,H,H,D,A,H,0.585,0.125,0.29
12,2017-05-06,Burnley,WestBrom,1.52,0.97,2,2,0,-2,3,1,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1640.6192627,1651.30297852,2.0,2.0,D,0.7959999999999999,1.4900000000000002,-0.4,H,D,A,H,A,0.368,0.419,0.213
13,2017-05-21,Burnley,WestHam,1.94,1.54,1,2,0,0,-5,-3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1632.70141602,1657.47583008,1.0,2.0,A,0.7220000000000001,1.516,-0.6,D,A,H,A,D,0.385,0.408,0.207
14,2017-08-19,Burnley,WestBrom,1.37,0.66,1,2,0,1,12,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1646.02307129,1652.65600586,0.0,1.0,A,0.93,1.646,-0.8,A,H,A,D,A,0.625,0.192,0.184
15,2017-09-10,Burnley,Crystal Palace,0.31,1.98,0,0,1,0,-19,-3,-7,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1645.39208984,1607.0168457,1.0,0.0,H,1.114,1.296,-0.6,H,A,D,A,A,0.622,0.191,0.188
16,2017-09-23,Burnley,Huddersfield Town,0.5,0.27,2,2,0,1,-4,1,-4,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659.60119629,1516.26599121,0.0,0.0,D,1.1079999999999999,1.47,-0.6,A,D,A,A,H,0.644,0.138,0.218
17,2017-10-14,Burnley,WestHam,0.87,0.73,2,1,-1,0,12,-1,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1674.54504395,1671.19177246,1.0,1.0,D,1.128,1.084,-0.2,D,A,A,H,D,0.472,0.426,0.103
18,2017-10-30,Burnley,Newcastle,1.12,0.48,0,2,0,3,0,0,-1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1672.74633789,1661.7310791,1.0,0.0,H,0.998,1.036,-0.2,A,A,H,D,D,0.262,0.425,0.312
19,2017-11-18,Burnley,Swansea City,1.63,0.47,0,0,2,0,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1688.76464844,1637.4329834,2.0,0.0,H,0.8340000000000001,0.8240000000000001,0.2,A,H,D,D,H,0.637,0.18,0.183
20,2017-11-26,Burnley,Arsenal,0.4,1.92,1,2,0,2,-9,0,-6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1685.51171875,1842.54150391,0.0,1.0,A,0.8859999999999999,0.7859999999999999,0.8,H,D,D,H,H,0.383,0.389,0.229
21,2017-12-09,Burnley,Watford,0.41,1.13,0,0,1,1,-3,3,-2,-2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1686.25061035,1667.48669434,1.0,0.0,H,0.904,0.774,0.4,D,D,H,H,A,0.808,0.026,0.165
22,2017-12-12,Burnley,Stoke City,0.42,1.1,0,2,0,0,-4,-5,-8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1692.30053711,1656.26513672,1.0,0.0,H,0.8860000000000001,0.946,0.6,D,H,H,A,H,0.524,0.399,0.077
23,2017-12-23,Burnley,Tottenham Hotspur,0.22,3.73,1,1,-1,-1,-13,-6,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1697.06213379,1901.91040039,0.0,3.0,A,0.7959999999999999,1.02,0.8,H,H,A,H,H,0.574,0.142,0.283
24,2018-01-01,Burnley,Liverpool,1.04,1.48,1,2,0,0,-6,-1,-8,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1693.5690917999998,1884.48339844,1.0,2.0,A,0.616,1.67,0.0,H,A,H,H,A,0.809,0.062,0.128
