,date,team1,team2,score1,score2,xg1,xg2,FTR,season_period,home_elo,away_elo,FTR_alpha,xg1_5g_avg,xg2_5g_avg,gd_5g_avg,game1,game2,game3,game4,game5,HomeWin,AwayWin,Draw
0,2016-10-22,Burnley,Everton,2.0,1.0,0.97,1.0,0,0,1629.5423584,1720.47314453,H,0.65,1.3060000000000005,0.4,A,H,D,H,A,0.001,0.979,0.02
1,2016-11-05,Burnley,Crystal Palace,3.0,2.0,1.87,2.42,0,0,1642.84008789,1630.74377441,H,0.5959999999999999,1.138,0.8,H,D,H,A,H,0.926,0.052,0.022
2,2016-11-26,Burnley,ManCity,1.0,2.0,0.73,2.57,1,0,1632.25805664,1872.48779297,A,0.928,1.3840000000000001,0.6,D,H,A,H,H,1.0,0.0,0.0
3,2016-12-10,Burnley,Bournemouth,3.0,2.0,2.05,1.09,0,1,1618.33276367,1632.51074219,H,0.968,1.6919999999999995,0.4,H,A,H,H,A,0.863,0.115,0.022
4,2016-12-26,Burnley,Middlesbrough,1.0,0.0,0.35,0.91,0,1,1616.76452637,1611.27636719,H,1.262,1.746,0.2,A,H,H,A,H,0.831,0.001,0.168
5,2016-12-31,Burnley,Sunderland,4.0,1.0,2.62,0.65,0,1,1623.21936035,1608.77282715,H,1.1939999999999995,1.598,0.6,H,H,A,H,H,0.0,1.0,0.0
6,2017-01-14,Burnley,Southampton,1.0,0.0,0.44,1.11,0,1,1631.47680664,1700.56298828,H,1.524,1.528,1.0,H,A,H,H,H,1.0,0.0,0.0
7,2017-01-31,Burnley,Leicester City,1.0,0.0,1.89,0.84,0,1,1637.75280762,1704.56286621,H,1.238,1.2660000000000002,1.0,A,H,H,H,H,0.001,0.992,0.007
8,2017-02-12,Burnley,Chelsea,1.0,1.0,0.9,0.89,2,1,1638.91210938,1884.62402344,D,1.47,0.92,1.4,H,H,H,H,H,0.881,0.004,0.116
9,2017-04-01,Burnley,Tottenham Hotspur,0.0,2.0,0.45,2.41,1,2,1632.93554688,1828.40930176,A,1.24,0.8799999999999999,1.2,H,H,H,H,D,0.0,1.0,0.0
10,2017-04-04,Burnley,Stoke City,1.0,0.0,0.34,1.11,0,2,1625.88183594,1670.82556152,H,1.2600000000000002,1.1800000000000002,0.6,H,H,H,D,A,0.001,0.998,0.001
11,2017-04-23,Burnley,ManUtd,0.0,2.0,0.4,2.2,1,2,1629.9284668,1849.51574707,A,0.804,1.272,0.2,H,H,D,A,H,0.999,0.001,0.001
12,2017-05-06,Burnley,WestBrom,2.0,2.0,1.52,0.97,2,2,1640.6192627,1651.30297852,D,0.7959999999999999,1.4900000000000002,-0.4,H,D,A,H,A,0.001,0.965,0.034
13,2017-05-21,Burnley,WestHam,1.0,2.0,1.94,1.54,1,2,1632.70141602,1657.47583008,A,0.7220000000000001,1.516,-0.6,D,A,H,A,D,0.0,0.984,0.015
14,2017-08-19,Burnley,WestBrom,0.0,1.0,1.37,0.66,1,0,1646.02307129,1652.65600586,A,0.93,1.646,-0.8,A,H,A,D,A,0.995,0.001,0.005
15,2017-09-10,Burnley,Crystal Palace,1.0,0.0,0.31,1.98,0,0,1645.39208984,1607.0168457,H,1.114,1.296,-0.6,H,A,D,A,A,1.0,0.0,0.0
16,2017-09-23,Burnley,Huddersfield Town,0.0,0.0,0.5,0.27,2,0,1659.60119629,1516.26599121,D,1.1079999999999999,1.47,-0.6,A,D,A,A,H,0.995,0.0,0.005
