,team1,team2,HomeWin,Draw,AwayWin,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA,FTR
0,Burnley,Everton,0.451,0.18100000000000002,0.36700000000000005,0.16666666666666666,0.2631578947368421,0.5988023952095809,0.16666666666666666,0.2631578947368421,0.6172839506172839,0.20833333333333334,0.2777777777777778,0.5714285714285714,0.1652892561983471,0.25839793281653745,0.5952380952380952,0.16666666666666666,0.2777777777777778,0.5988023952095809,0.16,0.2631578947368421,0.5988023952095809,0.1694915254237288,0.2680965147453083,0.5847953216374269,0
1,Bournemouth,Sunderland,0.21899999999999997,0.204,0.5760000000000001,0.6060606060606061,0.23809523809523808,0.18181818181818182,0.6172839506172839,0.25641025641025644,0.17391304347826086,0.6060606060606061,0.2631578947368421,0.18867924528301888,0.6134969325153374,0.234192037470726,0.17301038062283736,0.5988023952095809,0.2777777777777778,0.16666666666666666,0.6060606060606061,0.25,0.17391304347826086,0.6134969325153374,0.22727272727272727,0.17825311942959002,1
2,Burnley,Crystal Palace,0.741,0.126,0.133,0.30303030303030304,0.30303030303030304,0.42016806722689076,0.3125,0.3076923076923077,0.425531914893617,0.3389830508474576,0.30303030303030304,0.4166666666666667,0.29239766081871343,0.29673590504451036,0.4310344827586207,0.30303030303030304,0.3225806451612903,0.4166666666666667,0.2857142857142857,0.30303030303030304,0.4347826086956522,0.2777777777777778,0.3058103975535168,0.4366812227074236,0
3,Chelsea,Everton,0.41600000000000004,0.154,0.43,0.6535947712418301,0.23094688221709006,0.14285714285714285,0.6535947712418301,0.23809523809523808,0.16,0.6451612903225806,0.25,0.16129032258064516,0.6369426751592356,0.22883295194508008,0.1545595054095827,0.6369426751592356,0.26666666666666666,0.14285714285714285,0.6369426751592356,0.23094688221709006,0.15384615384615385,0.6666666666666666,0.21691973969631234,0.13513513513513511,0
4,ManCity,Middlesbrough,0.73,0.162,0.10800000000000001,0.819672131147541,0.14285714285714285,0.06666666666666667,0.8333333333333334,0.14814814814814814,0.06896551724137931,0.8333333333333334,0.15384615384615385,0.06666666666666667,0.8130081300813008,0.13966480446927373,0.07032348804500703,0.819672131147541,0.15384615384615385,0.07692307692307693,0.819672131147541,0.14285714285714285,0.06666666666666667,0.819672131147541,0.13245033112582782,0.06779661016949153,2
5,WestHam,Stoke City,0.325,0.12,0.555,0.5,0.2777777777777778,0.25,0.5,0.2857142857142857,0.2631578947368421,0.5,0.29411764705882354,0.2631578947368421,0.5,0.2785515320334262,0.24213075060532688,0.48780487804878053,0.30303030303030304,0.25,0.48780487804878053,0.2777777777777778,0.25641025641025644,0.49751243781094534,0.28328611898017,0.23980815347721823,2
6,Arsenal,Tottenham Hotspur,0.736,0.209,0.055,0.5128205128205129,0.2777777777777778,0.23809523809523808,0.5128205128205129,0.2777777777777778,0.25641025641025644,0.5,0.29411764705882354,0.2631578947368421,0.5128205128205129,0.2785515320334262,0.2298850574712644,0.5,0.3125,0.23094688221709006,0.5128205128205129,0.2857142857142857,0.23809523809523808,0.5076142131979695,0.27548209366391185,0.23809523809523808,2
7,HullCity,Southampton,0.802,0.124,0.07400000000000001,0.17391304347826086,0.2631578947368421,0.5882352941176471,0.18181818181818182,0.2631578947368421,0.6060606060606061,0.18867924528301888,0.2631578947368421,0.6060606060606061,0.17452006980802792,0.2577319587628866,0.5882352941176471,0.18181818181818182,0.2777777777777778,0.5882352941176471,0.17391304347826086,0.26666666666666666,0.5882352941176471,0.17391304347826086,0.25641025641025644,0.591715976331361,0
8,Leicester City,WestBrom,0.39,0.15,0.46,0.5555555555555556,0.2777777777777778,0.19047619047619047,0.5617977528089888,0.2777777777777778,0.21052631578947367,0.5714285714285714,0.2777777777777778,0.20833333333333334,0.5617977528089888,0.27548209366391185,0.18214936247723132,0.5555555555555556,0.30303030303030304,0.18181818181818182,0.5555555555555556,0.2777777777777778,0.1923076923076923,0.5747126436781609,0.26881720430107525,0.17699115044247787,1
9,Swansea City,ManUtd,0.32799999999999996,0.18100000000000002,0.491,0.2,0.25,0.5780346820809249,0.21052631578947367,0.25641025641025644,0.5813953488372093,0.18867924528301888,0.2631578947368421,0.6060606060606061,0.20242914979757085,0.24937655860349128,0.5681818181818182,0.2,0.26666666666666666,0.5780346820809249,0.2,0.25,0.5780346820809249,0.18083182640144665,0.24752475247524752,0.591715976331361,1
10,Crystal Palace,ManCity,0.389,0.17300000000000001,0.439,0.15384615384615385,0.2222222222222222,0.6535947712418301,0.16,0.22727272727272727,0.6666666666666666,0.15384615384615385,0.23809523809523808,0.6666666666666666,0.1592356687898089,0.2188183807439825,0.641025641025641,0.16666666666666666,0.23809523809523808,0.6369426751592356,0.16,0.2222222222222222,0.6451612903225806,0.14814814814814814,0.19880715705765406,0.6711409395973155,1
11,Everton,Swansea City,0.183,0.28,0.537,0.625,0.23094688221709006,0.16666666666666666,0.6451612903225806,0.24390243902439027,0.16,0.6451612903225806,0.25,0.16129032258064516,0.6329113924050632,0.2347417840375587,0.15337423312883436,0.6369426751592356,0.25,0.15384615384615385,0.625,0.23255813953488372,0.16666666666666666,0.625,0.22624434389140272,0.16835016835016833,2
12,ManUtd,Arsenal,0.66,0.23,0.11,0.3846153846153846,0.29411764705882354,0.3448275862068966,0.4,0.29411764705882354,0.35714285714285715,0.3846153846153846,0.3076923076923077,0.36363636363636365,0.3831417624521073,0.3003003003003003,0.33670033670033667,0.38167938931297707,0.3225806451612903,0.3333333333333333,0.3846153846153846,0.29411764705882354,0.3448275862068966,0.4,0.30864197530864196,0.3115264797507788,2
13,Southampton,Liverpool,0.49200000000000005,0.25,0.259,0.29411764705882354,0.2777777777777778,0.45454545454545453,0.30303030303030304,0.2857142857142857,0.46511627906976744,0.2631578947368421,0.29411764705882354,0.5,0.30120481927710846,0.2808988764044944,0.4385964912280702,0.29411764705882354,0.29411764705882354,0.45454545454545453,0.29411764705882354,0.29411764705882354,0.4347826086956522,0.31347962382445144,0.2881844380403458,0.41841004184100417,2
14,Stoke City,Bournemouth,0.58,0.24,0.18,0.4347826086956522,0.29411764705882354,0.29411764705882354,0.45454545454545453,0.3076923076923077,0.2857142857142857,0.47619047619047616,0.29411764705882354,0.2857142857142857,0.4424778761061947,0.29154518950437314,0.28653295128939826,0.4347826086956522,0.30303030303030304,0.30303030303030304,0.4347826086956522,0.29411764705882354,0.29411764705882354,0.4694835680751174,0.28735632183908044,0.2638522427440633,1
15,Sunderland,HullCity,0.727,0.18600000000000003,0.08800000000000001,0.46511627906976744,0.29411764705882354,0.2631578947368421,0.46511627906976744,0.3076923076923077,0.2777777777777778,0.47619047619047616,0.29411764705882354,0.2857142857142857,0.47393364928909953,0.29850746268656714,0.24813895781637715,0.46511627906976744,0.3125,0.2631578947368421,0.46511627906976744,0.30303030303030304,0.2631578947368421,0.4366812227074236,0.3003003003003003,0.28328611898017,0
16,Tottenham Hotspur,WestHam,0.44,0.08,0.48,0.6666666666666666,0.2222222222222222,0.13333333333333333,0.6666666666666666,0.23529411764705882,0.14814814814814814,0.6060606060606061,0.2631578947368421,0.18867924528301888,0.6666666666666666,0.2183406113537118,0.13513513513513511,0.6666666666666666,0.23094688221709006,0.14285714285714285,0.6666666666666666,0.2173913043478261,0.14285714285714285,0.6369426751592356,0.2298850574712644,0.15527950310559005,0
17,Watford,Leicester City,0.305,0.13699999999999998,0.5579999999999999,0.35714285714285715,0.30303030303030304,0.36363636363636365,0.37037037037037035,0.30303030303030304,0.37735849056603776,0.37037037037037035,0.3125,0.37037037037037035,0.3436426116838488,0.30303030303030304,0.3731343283582089,0.35714285714285715,0.3225806451612903,0.36363636363636365,0.3472222222222222,0.30303030303030304,0.37037037037037035,0.33112582781456956,0.30120481927710846,0.38759689922480617,0
18,Middlesbrough,Chelsea,0.29,0.11,0.6,0.14285714285714285,0.25,0.6369426751592356,0.16,0.24390243902439027,0.6451612903225806,0.15384615384615385,0.23809523809523808,0.6666666666666666,0.14641288433382138,0.2336448598130841,0.641025641025641,0.15384615384615385,0.25,0.6369426751592356,0.15384615384615385,0.23809523809523808,0.6369426751592356,0.14388489208633093,0.2145922746781116,0.6622516556291391,1
19,WestBrom,Burnley,0.475,0.154,0.371,0.5128205128205129,0.29411764705882354,0.2222222222222222,0.5128205128205129,0.30303030303030304,0.23094688221709006,0.5263157894736842,0.2857142857142857,0.24390243902439027,0.5208333333333334,0.2949852507374631,0.20283975659229211,0.5128205128205129,0.30303030303030304,0.2222222222222222,0.5128205128205129,0.30303030303030304,0.2173913043478261,0.5235602094240838,0.2898550724637681,0.20703933747412007,0
20,Burnley,ManCity,0.76,0.177,0.063,0.1111111111111111,0.16666666666666666,0.7518796992481203,0.10526315789473684,0.16666666666666666,0.78125,0.125,0.18867924528301888,0.7407407407407407,0.09950248756218905,0.16583747927031509,0.7575757575757576,0.1111111111111111,0.18181818181818182,0.7518796992481203,0.09523809523809523,0.18181818181818182,0.7518796992481203,0.07692307692307693,0.13793103448275862,0.8064516129032259,1
21,Chelsea,Tottenham Hotspur,0.248,0.142,0.61,0.5714285714285714,0.2631578947368421,0.19047619047619047,0.5714285714285714,0.2631578947368421,0.2,0.5714285714285714,0.2777777777777778,0.20833333333333334,0.5617977528089888,0.26246719160104987,0.19646365422396858,0.5555555555555556,0.2857142857142857,0.2,0.5714285714285714,0.25641025641025644,0.2,0.5813953488372093,0.2604166666666667,0.1801801801801802,0
22,HullCity,WestBrom,0.252,0.14300000000000002,0.605,0.3225806451612903,0.3125,0.3846153846153846,0.3448275862068966,0.3125,0.3921568627450981,0.36363636363636365,0.3076923076923077,0.3846153846153846,0.30303030303030304,0.31446540880503143,0.40322580645161293,0.3225806451612903,0.3333333333333333,0.3846153846153846,0.3125,0.3125,0.4,0.3496503496503497,0.3215434083601286,0.3496503496503497,2
